,Titulares,T,TaP,C,CP,CF,FR,FC,PI,BR,Reg,PA,P%,equipo,jornada,Minutos,cambioN,localizacion
8411,Unai Bustinza,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.621,leganes,24,90.0,0.0,1
8412,Jonathan Silva,0.0,0.0,4.0,2.0,0.0,1.0,2.0,4.0,4.0,2.0,1.0,0.679,leganes,24,90.0,0.0,1
8413,Dimitrios Siovas,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.8290000000000001,leganes,24,90.0,0.0,1
8414,Kenneth Omeruo,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.667,leganes,24,90.0,0.0,1
8415,Recio ,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.929,leganes,24,0.0,0.0,1
8416,Mikel Vesga,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.906,leganes,24,90.0,0.0,1
8417,Óscar Rodríguez,1.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.862,leganes,24,90.0,0.0,1
8418,Martin Braithwaite,3.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.857,leganes,24,75.0,75.0,1
8419,Youssef En Nesyri,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.588,leganes,24,90.0,0.0,1
8420,Andriy Lunin,,,,,,,,,,,,,leganes,24,0.0,0.0,1
8421,Diego Reyes,,,,,,,,,,,,,leganes,24,0.0,0.0,1
8422,Gerard Gumbau,,,,,,,,,,,,,leganes,24,0.0,0.0,1
8423,Nabil El Zhar ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,leganes,24,90.0,0.0,1
8424,Rubén Pérez,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,leganes,24,9.0,81.0,1
8425,Guido Carrillo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,leganes,24,15.0,75.0,1
8426,Michael Santos,,,,,,,,,,,,,leganes,24,0.0,0.0,1
8427,Marc-André ter Stegen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.759,barcelona,24,90.0,0.0,0
8428,Gerard Piqué,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.952,barcelona,24,90.0,0.0,0
8429,Jordi Alba,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.912,barcelona,24,90.0,0.0,0
8430,Sergi Roberto,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.93,barcelona,24,90.0,0.0,0
8431,Thomas Vermaelen,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.93,barcelona,24,90.0,0.0,0
8432,Sergio Busquets,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0,0.962,barcelona,24,90.0,0.0,0
8433,Carles Aleñá,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,0.899,barcelona,24,75.0,75.0,0
8434,Arturo Vidal,0.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,0.0,0.923,barcelona,24,90.0,0.0,0
8435,Lionel Messi,12.0,5.0,3.0,0.0,2.0,1.0,4.0,0.0,1.0,3.0,8.0,0.863,barcelona,24,90.0,0.0,0
8436,Ousmane Dembélé,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,3.0,0.8140000000000001,barcelona,24,69.0,69.0,0
8437,Kevin-Prince Boateng,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.75,barcelona,24,59.0,59.0,0
8438,Iñaki Peña,,,,,,,,,,,,,barcelona,24,0.0,0.0,0
8439,Nélson Semedo,,,,,,,,,,,,,barcelona,24,0.0,0.0,0
8440,Clément Lenglet,,,,,,,,,,,,,barcelona,24,0.0,0.0,0
8441,Ivan Rakitic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,barcelona,24,15.0,75.0,0
8442,Philippe Coutinho,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,barcelona,24,21.0,69.0,0
8443,Malcom,,,,,,,,,,,,,barcelona,24,0.0,0.0,0
8444,Luis Suárez,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.789,barcelona,24,31.0,59.0,0
8445,Jordi Masip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.531,valladolid,24,90.0,0.0,1
8446,Joaquín Fernández,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.813,valladolid,24,90.0,0.0,1
8447,Kiko Olivas,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.9,valladolid,24,90.0,0.0,1
8448,Fernando Calero,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.884,valladolid,24,90.0,0.0,1
8449,Antoñito Regal,1.0,0.0,5.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.588,valladolid,24,90.0,0.0,1
8450,Nacho Martínez,2.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.815,valladolid,24,90.0,0.0,1
8451,Daniele Verde,1.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.769,valladolid,24,66.0,66.0,1
8452,Míchel Herrero,0.0,0.0,2.0,0.0,1.0,3.0,5.0,8.0,3.0,0.0,1.0,0.932,valladolid,24,90.0,0.0,1
8453,Anuar Mohamed,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,9.0,1.0,0.0,0.815,valladolid,24,90.0,0.0,1
8454,Enes Ünal,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.81,valladolid,24,78.0,78.0,1
8455,Sergi Guardiola,4.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,5.0,0.0,0.731,valladolid,24,90.0,0.0,1
8456,Yoel Rodríguez,,,,,,,,,,,,,valladolid,24,0.0,0.0,1
8457,Javi Moyano,,,,,,,,,,,,,valladolid,24,0.0,0.0,1
8458,Borja Fernández,,,,,,,,,,,,,valladolid,24,0.0,0.0,1
8459,Toni Villa  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,valladolid,24,0.0,0.0,1
8460,Keko Gontán,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5710000000000001,valladolid,24,12.0,78.0,1
8461,Duje Cop,,,,,,,,,,,,,valladolid,24,0.0,0.0,1
8462,Stiven Plaza,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,valladolid,24,15.0,75.0,1
8463,Thibaut Courtois,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7929999999999999,real_madrid,24,90.0,0.0,0
8464,Álvaro Odriozola,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,0.882,real_madrid,24,90.0,0.0,0
8465,Marcelo,3.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.872,real_madrid,24,90.0,0.0,0
8466,Raphaël Varane,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.871,real_madrid,24,90.0,0.0,0
8467,Sergio Ramos,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,0.865,real_madrid,24,89.0,89.0,0
8468,Casemiro,1.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,1.0,0.0,0.825,real_madrid,24,90.0,0.0,0
8469,Toni Kroos,0.0,0.0,12.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.897,real_madrid,24,90.0,0.0,0
8470,Dani Ceballos,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.87,real_madrid,24,73.0,73.0,0
8471,Lucas Vázquez,1.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.833,real_madrid,24,57.0,57.0,0
8472,Marco Asensio,3.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.867,real_madrid,24,65.0,65.0,0
8473,Karim Benzema,4.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6940000000000001,real_madrid,24,90.0,0.0,0
8474,Keylor Navas,,,,,,,,,,,,,real_madrid,24,0.0,0.0,0
8475,Daniel Carvajal,,,,,,,,,,,,,real_madrid,24,0.0,0.0,0
8476,Nacho Fernández,,,,,,,,,,,,,real_madrid,24,0.0,0.0,0
8477,Federico Valverde,,,,,,,,,,,,,real_madrid,24,0.0,0.0,0
8478,Vinicius Junior,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,real_madrid,24,33.0,57.0,0
8479,Mariano Díaz,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,real_madrid,24,17.0,73.0,0
8480,Gareth Bale,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.833,real_madrid,24,25.0,65.0,0
8481,Yassine Bono,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.652,girona,24,90.0,0.0,1
8482,Jonas Ramalho,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,0.865,girona,24,90.0,0.0,1
8483,Pedro Alcalá,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.8059999999999999,girona,24,90.0,0.0,1
8484,Raúl García C.,0.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.7929999999999999,girona,24,90.0,0.0,1
8485,Juanpe Ramírez,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.953,girona,24,90.0,0.0,1
8486,Pedro Porro,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.444,girona,24,45.0,45.0,1
8487,Álex Granell,3.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.789,girona,24,90.0,0.0,1
8488,Pere Pons,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.857,girona,24,45.0,45.0,1
8489,Cristian Portu,2.0,1.0,4.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,2.0,0.875,girona,24,83.0,83.0,1
8490,Douglas Luiz,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,2.0,0.907,girona,24,90.0,0.0,1
8491,Christian Stuani,3.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.6920000000000001,girona,24,90.0,0.0,1
8492,Gorka Iraizoz,,,,,,,,,,,,,girona,24,0.0,0.0,1
8493,Carles Planas,,,,,,,,,,,,,girona,24,0.0,0.0,1
8494,Valery Fernández,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.333,girona,24,7.0,83.0,1
8495,Patrick Roberts,,,,,,,,,,,,,girona,24,0.0,0.0,1
8496,Aleix García,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.909,girona,24,45.0,45.0,1
8497,Paik Seung-Ho,,,,,,,,,,,,,girona,24,0.0,0.0,1
8498,Choco Lozano,4.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.611,girona,24,45.0,45.0,1
8499,Neto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.778,valencia,24,90.0,0.0,0
8500,José Gayà,1.0,0.0,7.0,2.0,2.0,2.0,0.0,3.0,1.0,4.0,3.0,0.8,valencia,24,90.0,0.0,0
8501,Ezequiel Garay,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.8809999999999999,valencia,24,90.0,0.0,0
8502,Facundo Roncaglia,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.8170000000000001,valencia,24,90.0,0.0,0
8503,Daniel Wass,1.0,0.0,5.0,1.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,0.764,valencia,24,90.0,0.0,0
8504,Francis Coquelin,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.897,valencia,24,67.0,67.0,0
8505,Ferrán Torres,2.0,0.0,6.0,0.0,2.0,0.0,2.0,0.0,1.0,3.0,1.0,0.9,valencia,24,75.0,75.0,0
8506,Dani Parejo,3.0,1.0,10.0,5.0,0.0,1.0,2.0,3.0,1.0,0.0,7.0,0.7609999999999999,valencia,24,90.0,0.0,0
8507,Denis Cheryshev,2.0,0.0,9.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.6559999999999999,valencia,24,90.0,0.0,0
8508,Rubén Sobrino,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.769,valencia,24,57.0,57.0,0
8509,Kevin Gameiro,4.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,3.0,0.857,valencia,24,90.0,0.0,0
8510,Jaume Doménech,,,,,,,,,,,,,valencia,24,0.0,0.0,0
8511,Antonio Lato,,,,,,,,,,,,,valencia,24,0.0,0.0,0
8512,Geoffrey Kondogbia,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.826,valencia,24,23.0,67.0,0
8513,Gonçalo Guedes,1.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.706,valencia,24,33.0,57.0,0
8514,Carlos Soler,,,,,,,,,,,,,valencia,24,0.0,0.0,0
8515,Lee Kang-in,,,,,,,,,,,,,valencia,24,0.0,0.0,0
8516,Santi Mina,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,valencia,24,15.0,75.0,0
8517,Diego López,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.644,espanyol,24,90.0,0.0,1
8518,Roberto Rosales,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.636,espanyol,24,90.0,0.0,1
8519,David López,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.8959999999999999,espanyol,24,90.0,0.0,1
8520,Javi López,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,1.0,0.0,0.742,espanyol,24,94.0,94.0,1
8521,Mario Hermoso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.911,espanyol,24,90.0,0.0,1
8522,Sergi Darder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.939,espanyol,24,63.0,63.0,1
8523,Óscar Melendo,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,0.8640000000000001,espanyol,24,90.0,0.0,1
8524,Marc Roca,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.91,espanyol,24,90.0,0.0,1
8525,Esteban Granero,0.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.866,espanyol,24,90.0,0.0,1
8526,Borja Iglesias,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.565,espanyol,24,77.0,77.0,1
8527,Wu Lei,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.923,espanyol,24,71.0,71.0,1
8528,Roberto Jiménez,,,,,,,,,,,,,espanyol,24,0.0,0.0,1
8529,Lluis López,,,,,,,,,,,,,espanyol,24,0.0,0.0,1
8530,Adrià Pedrosa,,,,,,,,,,,,,espanyol,24,0.0,0.0,1
8531,Álex López,,,,,,,,,,,,,espanyol,24,0.0,0.0,1
8532,Alfa Semedo,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.7,espanyol,24,19.0,71.0,1
8533,Javi Puado,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,espanyol,24,27.0,63.0,1
8534,Facundo Ferreyra,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,espanyol,24,13.0,77.0,1
8535,Sergio Asenjo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.391,villarreal,24,90.0,0.0,0
8536,Mario Gaspar,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.586,villarreal,24,90.0,0.0,0
8537,Alfonso Pedraza,3.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,0.8240000000000001,villarreal,24,90.0,0.0,0
8538,Víctor Ruiz,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.805,villarreal,24,90.0,0.0,0
8539,Daniele Bonera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.929,villarreal,24,23.0,23.0,0
8540,Álvaro González,1.0,1.0,1.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,0.7859999999999999,villarreal,24,90.0,0.0,0
8541,Vicente Iborra,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.758,villarreal,24,90.0,0.0,0
8542,Santiago Cáseres,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.967,villarreal,24,75.0,75.0,0
8543,Santi Cazorla,2.0,0.0,10.0,3.0,3.0,3.0,0.0,1.0,1.0,4.0,3.0,0.913,villarreal,24,90.0,0.0,0
8544,Carlos Bacca,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.5329999999999999,villarreal,24,66.0,66.0,0
8545,Karl Toko Ekambi,2.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,3.0,0.0,0.833,villarreal,24,90.0,0.0,0
8546,Andrés Fernández,,,,,,,,,,,,,villarreal,24,0.0,0.0,0
8547,Ramiro Funes Mori ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.813,villarreal,24,90.0,0.0,0
8548,Jaume Costa,,,,,,,,,,,,,villarreal,24,0.0,0.0,0
8549,Pablo Fornals,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.722,villarreal,24,24.0,66.0,0
8550,Manuel Morlanes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8,villarreal,24,15.0,75.0,0
8551,Samuel Chukweze,,,,,,,,,,,,,villarreal,24,0.0,0.0,0
8552,Gerard Moreno,,,,,,,,,,,,,villarreal,24,0.0,0.0,0
8553,Tomáš Vaclík,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,sevilla,24,90.0,0.0,1
8554,Sergi Gómez,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.833,sevilla,24,90.0,0.0,1
8555,Simon Kjaer,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.944,sevilla,24,63.0,63.0,1
8556,Jesús Navas,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.667,sevilla,24,45.0,45.0,1
8557,Maximilian Wöber,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.86,sevilla,24,90.0,0.0,1
8558,Ibrahim Amadou,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.883,sevilla,24,90.0,0.0,1
8559,Roque Mesa,2.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,0.857,sevilla,24,90.0,0.0,1
8560,Franco Vázquez,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.81,sevilla,24,45.0,45.0,1
8561,André Silva,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.767,sevilla,24,90.0,0.0,1
8562,Quincy Promes,3.0,0.0,7.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,4.0,0.809,sevilla,24,90.0,0.0,1
8563,Munir El Haddadi,6.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.87,sevilla,24,90.0,0.0,1
8564,Juan Soriano,,,,,,,,,,,,,sevilla,24,0.0,0.0,1
8565,Sergio Escudero,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.95,sevilla,24,27.0,63.0,1
8566,Guilherme Arana,,,,,,,,,,,,,sevilla,24,0.0,0.0,1
8567,Gabriel Mercado,,,,,,,,,,,,,sevilla,24,0.0,0.0,1
8568,Pablo Sarabia,1.0,1.0,5.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.8420000000000001,sevilla,24,45.0,45.0,1
8569,Marko Rog,,,,,,,,,,,,,sevilla,24,0.0,0.0,1
8570,Wissam Ben Yedder ,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.8,sevilla,24,90.0,0.0,1
8571,Pau López,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,betis,24,90.0,0.0,0
8572,Aissa Mandi,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.94,betis,24,90.0,0.0,0
8573,Marc Bartra,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.882,betis,24,90.0,0.0,0
8574,Antonio Barragán,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.848,betis,24,67.0,67.0,0
8575,Zou Feddal,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.843,betis,24,90.0,0.0,0
8576,Diego Lainez,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.931,betis,24,74.0,74.0,0
8577,Sergio Canales,4.0,2.0,8.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,4.0,0.88,betis,24,90.0,0.0,0
8578,William Carvalho,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,0.918,betis,24,90.0,0.0,0
8579,Giovani Lo Celso,2.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,2.0,0.9,betis,24,90.0,0.0,0
8580,Andrés Guardado,3.0,0.0,3.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.875,betis,24,90.0,0.0,0
8581,Jesé Rodríguez,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.6920000000000001,betis,24,63.0,63.0,0
8582,Joel Robles,,,,,,,,,,,,,betis,24,0.0,0.0,0
8583,Sidnei,,,,,,,,,,,,,betis,24,0.0,0.0,0
8584,Emerson de Souza,,,,,,,,,,,,,betis,24,0.0,0.0,0
8585,Julio Alonso,,,,,,,,,,,,,betis,24,0.0,0.0,0
8586,Joaquín Sánchez,0.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.897,betis,24,23.0,67.0,0
8587,Sergio León,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.667,betis,24,27.0,63.0,0
8588,Loren Morón,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,betis,24,16.0,74.0,0
8589,Fernando Pacheco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.344,alaves,24,90.0,0.0,1
8590,Rubén Duarte,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.789,alaves,24,58.0,58.0,1
8591,Víctor Laguardia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.912,alaves,24,90.0,0.0,1
8592,Guillermo Maripán,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.857,alaves,24,90.0,0.0,1
8593,Ximo Navarro,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.923,alaves,24,90.0,0.0,1
8594,Tomás Pina,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.8540000000000001,alaves,24,90.0,0.0,1
8595,Darko Brasanac,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.774,alaves,24,90.0,0.0,1
8596,Mubarak Wakaso,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.818,alaves,24,58.0,58.0,1
8597,Jony Rodríguez,1.0,1.0,7.0,3.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,0.643,alaves,24,90.0,0.0,1
8598,Takashi Inui,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.708,alaves,24,82.0,82.0,1
8599,Jonathan Calleri,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.65,alaves,24,90.0,0.0,1
8600,Antonio Sivera,,,,,,,,,,,,,alaves,24,0.0,0.0,1
8601,Carlos Vigaray,,,,,,,,,,,,,alaves,24,0.0,0.0,1
8602,Adrián Marín,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,alaves,24,32.0,58.0,1
8603,Manu García,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5329999999999999,alaves,24,32.0,58.0,1
8604,Álex Blanco,,,,,,,,,,,,,alaves,24,0.0,0.0,1
8605,Borja Bastón,,,,,,,,,,,,,alaves,24,0.0,0.0,1
8606,Diego Rolan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,alaves,24,8.0,82.0,1
8607,Roberto Santamaría,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,huesca,24,90.0,0.0,0
8608,Jorge Miramón,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.759,huesca,24,90.0,0.0,0
8609,Javi Galán,0.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,2.0,5.0,0.0,0.625,huesca,24,90.0,0.0,0
8610,Jorge Pulido,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.8,huesca,24,90.0,0.0,0
8611,Xabier Etxeita,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.738,huesca,24,90.0,0.0,0
8612,Adrián Diéguez,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.696,huesca,24,67.0,67.0,0
